,Household,Recency,Frequency,Monetary,R_score,F_score,M_score,household_key,DAY,COUPON_UPC,CAMPAIGN,Segment
1699,1975,710,363,17548.27,3,1,1,1975,681,54589371155,20,Almost Lost
2021,2284,710,265,17152.63,3,1,1,2284,425,10000085363,8,Almost Lost
2022,2284,710,265,17152.63,3,1,1,2284,593,10000085475,18,Almost Lost
2002,2264,710,315,16960.59,3,1,1,2264,430,10000085364,8,Almost Lost
1596,1864,710,164,16941.58,3,1,1,1864,430,10000085361,8,Almost Lost
1597,1864,710,164,16941.58,3,1,1,1864,430,50930030075,8,Almost Lost
1598,1864,710,164,16941.58,3,1,1,1864,430,53475600050,8,Almost Lost
1599,1864,710,164,16941.58,3,1,1,1864,430,57457010076,8,Almost Lost
2072,2351,708,322,16616.78,3,1,1,2351,517,10000089081,13,Almost Lost
2073,2351,708,322,16616.78,3,1,1,2351,517,51700010076,13,Almost Lost
2074,2351,708,322,16616.78,3,1,1,2351,517,53620010050,13,Almost Lost
2075,2351,708,322,16616.78,3,1,1,2351,517,55410000076,13,Almost Lost
2076,2351,708,322,16616.78,3,1,1,2351,521,10000085426,13,Almost Lost
2077,2351,708,322,16616.78,3,1,1,2351,521,10000089134,13,Almost Lost
2078,2351,708,322,16616.78,3,1,1,2351,549,55340000082,13,Almost Lost
2079,2351,708,322,16616.78,3,1,1,2351,598,10000085475,18,Almost Lost
2080,2351,708,322,16616.78,3,1,1,2351,598,53120026033,18,Almost Lost
2081,2351,708,322,16616.78,3,1,1,2351,605,55400061078,18,Almost Lost
2082,2351,708,322,16616.78,3,1,1,2351,605,57143020076,18,Almost Lost
2083,2351,708,322,16616.78,3,1,1,2351,626,52113100033,18,Almost Lost
1474,1762,711,344,15360.14,3,1,1,1762,436,10000089012,8,Almost Lost
1475,1762,711,344,15360.14,3,1,1,1762,436,51800009050,8,Almost Lost
1476,1762,711,344,15360.14,3,1,1,1762,436,53600000078,8,Almost Lost
1477,1762,711,344,15360.14,3,1,1,1762,606,10000085475,18,Almost Lost
1478,1762,711,344,15360.14,3,1,1,1762,620,10000089305,18,Almost Lost
1721,1995,711,154,15332.43,3,1,1,1995,516,10000085428,13,Almost Lost
1722,1995,711,154,15332.43,3,1,1,1995,516,10000089098,13,Almost Lost
1723,1995,711,154,15332.43,3,1,1,1995,516,51480000076,13,Almost Lost
1724,1995,711,154,15332.43,3,1,1,1995,516,54300020076,13,Almost Lost
1725,1995,711,154,15332.43,3,1,1,1995,521,52100040050,13,Almost Lost
1726,1995,711,154,15332.43,3,1,1,1995,621,54850010033,18,Almost Lost
1727,1995,711,154,15332.43,3,1,1,1995,625,10000085477,18,Almost Lost
165,113,709,223,15324.95,3,1,1,113,562,53500000076,16,Almost Lost
166,113,709,223,15324.95,3,1,1,113,671,51111120078,20,Almost Lost
1020,1142,710,284,15178.96,3,1,1,1142,558,51111120076,14,Almost Lost
410,389,710,271,14880.92,3,1,1,389,420,57127900036,8,Almost Lost
411,389,710,271,14880.92,3,1,1,389,442,10000085361,8,Almost Lost
412,389,710,271,14880.92,3,1,1,389,504,10000085426,13,Almost Lost
413,389,710,271,14880.92,3,1,1,389,504,10000089093,13,Almost Lost
414,389,710,271,14880.92,3,1,1,389,538,10000085432,13,Almost Lost
415,389,710,271,14880.92,3,1,1,389,538,51600070033,13,Almost Lost
416,389,710,271,14880.92,3,1,1,389,538,51960010076,13,Almost Lost
417,389,710,271,14880.92,3,1,1,389,538,51960060050,13,Almost Lost
418,389,710,271,14880.92,3,1,1,389,538,54300020076,13,Almost Lost
419,389,710,271,14880.92,3,1,1,389,539,10000089093,13,Almost Lost
420,389,710,271,14880.92,3,1,1,389,582,53620064076,17,Almost Lost
421,389,710,271,14880.92,3,1,1,389,582,54440020076,17,Almost Lost
422,389,710,271,14880.92,3,1,1,389,596,10000085476,18,Almost Lost
423,389,710,271,14880.92,3,1,1,389,609,52000030042,18,Almost Lost
424,389,710,271,14880.92,3,1,1,389,609,52113100033,18,Almost Lost
425,389,710,271,14880.92,3,1,1,389,609,54060060076,18,Almost Lost
426,389,710,271,14880.92,3,1,1,389,609,54300026050,18,Almost Lost
427,389,710,271,14880.92,3,1,1,389,625,54900050076,18,Almost Lost
428,389,710,271,14880.92,3,1,1,389,653,54060060033,23,Almost Lost
429,389,710,271,14880.92,3,1,1,389,656,53000000036,23,Almost Lost
430,389,710,271,14880.92,3,1,1,389,665,55100000033,23,Almost Lost
431,389,710,271,14880.92,3,1,1,389,671,51200000076,23,Almost Lost
432,389,710,271,14880.92,3,1,1,389,686,57192110076,25,Almost Lost
1237,1475,710,339,14855.21,3,1,1,1475,439,52100041050,8,Almost Lost
1238,1475,710,339,14855.21,3,1,1,1475,446,10000085364,8,Almost Lost
1239,1475,710,339,14855.21,3,1,1,1475,446,10000089018,8,Almost Lost
1240,1475,710,339,14855.21,3,1,1,1475,516,10000085429,13,Almost Lost
1241,1475,710,339,14855.21,3,1,1,1475,516,53700016682,13,Almost Lost
1242,1475,710,339,14855.21,3,1,1,1475,523,10000089124,13,Almost Lost
1243,1475,710,339,14855.21,3,1,1,1475,523,52740022050,13,Almost Lost
1244,1475,710,339,14855.21,3,1,1,1475,593,10000085479,18,Almost Lost
1245,1475,710,339,14855.21,3,1,1,1475,593,10000089252,18,Almost Lost
1246,1475,710,339,14855.21,3,1,1,1475,593,51800015050,18,Almost Lost
1247,1475,710,339,14855.21,3,1,1,1475,593,51809461078,18,Almost Lost
1248,1475,710,339,14855.21,3,1,1,1475,593,52100023024,18,Almost Lost
1249,1475,710,339,14855.21,3,1,1,1475,600,51258700050,18,Almost Lost
1845,2115,711,320,14774.86,3,1,1,2115,418,10000085363,8,Almost Lost
1846,2115,711,320,14774.86,3,1,1,2115,418,57045970076,8,Almost Lost
641,696,708,326,14715.53,3,1,1,696,541,10000089125,13,Almost Lost
642,696,708,326,14715.53,3,1,1,696,541,53663250076,13,Almost Lost
643,696,708,326,14715.53,3,1,1,696,541,53700040075,13,Almost Lost
644,696,708,326,14715.53,3,1,1,696,541,54300020076,13,Almost Lost
2142,2400,711,391,14681.32,3,1,1,2400,567,10000085436,16,Almost Lost
2143,2400,711,391,14681.32,3,1,1,2400,567,10000085482,16,Almost Lost
2144,2400,711,391,14681.32,3,1,1,2400,567,52270011076,16,Almost Lost
2145,2400,711,391,14681.32,3,1,1,2400,567,53500000076,16,Almost Lost
2146,2400,711,391,14681.32,3,1,1,2400,567,53600030082,16,Almost Lost
2147,2400,711,391,14681.32,3,1,1,2400,567,53700048076,16,Almost Lost
2148,2400,711,391,14681.32,3,1,1,2400,567,55310000076,16,Almost Lost
2149,2400,711,391,14681.32,3,1,1,2400,567,57124921076,16,Almost Lost
2150,2400,711,391,14681.32,3,1,1,2400,567,57418211676,16,Almost Lost
2151,2400,711,391,14681.32,3,1,1,2400,600,10000085478,18,Almost Lost
2152,2400,711,391,14681.32,3,1,1,2400,600,10000089248,18,Almost Lost
2153,2400,711,391,14681.32,3,1,1,2400,600,10000089251,18,Almost Lost
2154,2400,711,391,14681.32,3,1,1,2400,600,10000089278,18,Almost Lost
2155,2400,711,391,14681.32,3,1,1,2400,600,51600030101,18,Almost Lost
2156,2400,711,391,14681.32,3,1,1,2400,600,52000030042,18,Almost Lost
2157,2400,711,391,14681.32,3,1,1,2400,600,52840001082,18,Almost Lost
2158,2400,711,391,14681.32,3,1,1,2400,600,53210060033,18,Almost Lost
2159,2400,711,391,14681.32,3,1,1,2400,600,54154888076,18,Almost Lost
2160,2400,711,391,14681.32,3,1,1,2400,600,54300026050,18,Almost Lost
2161,2400,711,391,14681.32,3,1,1,2400,600,55410000076,18,Almost Lost
2162,2400,711,391,14681.32,3,1,1,2400,621,53600010087,19,Almost Lost
2163,2400,711,391,14681.32,3,1,1,2400,621,53700048182,19,Almost Lost
2164,2400,711,391,14681.32,3,1,1,2400,621,57007451076,19,Almost Lost
1072,1228,711,797,14503.89,3,1,1,1228,426,10000085363,8,Almost Lost
1073,1228,711,797,14503.89,3,1,1,1228,539,10000085429,13,Almost Lost
1074,1228,711,797,14503.89,3,1,1,1228,539,55000013050,13,Almost Lost
1075,1228,711,797,14503.89,3,1,1,1228,604,54900050076,18,Almost Lost
1076,1228,711,797,14503.89,3,1,1,1228,624,54154888076,18,Almost Lost
1077,1228,711,797,14503.89,3,1,1,1228,624,54900050076,18,Almost Lost
2041,2317,705,150,13967.37,3,1,1,2317,419,10000085364,8,Almost Lost
2042,2317,705,150,13967.37,3,1,1,2317,419,51111110076,8,Almost Lost
2043,2317,705,150,13967.37,3,1,1,2317,419,53620010050,8,Almost Lost
2044,2317,705,150,13967.37,3,1,1,2317,422,55113140076,8,Almost Lost
2045,2317,705,150,13967.37,3,1,1,2317,447,53663200076,8,Almost Lost
2046,2317,705,150,13967.37,3,1,1,2317,519,10000085429,13,Almost Lost
2047,2317,705,150,13967.37,3,1,1,2317,519,51480000076,13,Almost Lost
2048,2317,705,150,13967.37,3,1,1,2317,519,57047091041,13,Almost Lost
2049,2317,705,150,13967.37,3,1,1,2317,642,10000085475,18,Almost Lost
2050,2317,705,150,13967.37,3,1,1,2317,642,10000089277,18,Almost Lost
1912,2162,710,180,13923.45,3,1,1,2162,623,51600070033,18,Almost Lost
973,1029,708,276,13785.55,3,1,1,1029,285,51380041013,29,Almost Lost
974,1029,708,276,13785.55,3,1,1,1029,285,51380041313,29,Almost Lost
975,1029,708,276,13785.55,3,1,1,1029,328,51380041013,29,Almost Lost
976,1029,708,276,13785.55,3,1,1,1029,440,10000085363,8,Almost Lost
977,1029,708,276,13785.55,3,1,1,1029,514,51480000076,13,Almost Lost
167,115,708,201,13262.1,3,1,1,115,400,50813700076,5,Almost Lost
168,115,708,201,13262.1,3,1,1,115,400,53600010082,5,Almost Lost
169,115,708,201,13262.1,3,1,1,115,407,50813700076,5,Almost Lost
170,115,708,201,13262.1,3,1,1,115,407,53600010082,5,Almost Lost
171,115,708,201,13262.1,3,1,1,115,407,57007440087,5,Almost Lost
172,115,708,201,13262.1,3,1,1,115,421,54450031033,8,Almost Lost
173,115,708,201,13262.1,3,1,1,115,428,53760084282,8,Almost Lost
174,115,708,201,13262.1,3,1,1,115,430,54100027009,8,Almost Lost
175,115,708,201,13262.1,3,1,1,115,518,10000085429,13,Almost Lost
176,115,708,201,13262.1,3,1,1,115,518,51910011176,13,Almost Lost
177,115,708,201,13262.1,3,1,1,115,518,56414410013,13,Almost Lost
178,115,708,201,13262.1,3,1,1,115,567,10000085482,16,Almost Lost
179,115,708,201,13262.1,3,1,1,115,608,50008710076,19,Almost Lost
180,115,708,201,13262.1,3,1,1,115,608,51500050033,19,Almost Lost
181,115,708,201,13262.1,3,1,1,115,625,50008710076,19,Almost Lost
182,115,708,201,13262.1,3,1,1,115,647,50052110076,20,Almost Lost
183,115,708,201,13262.1,3,1,1,115,647,53620010028,20,Almost Lost
184,115,708,201,13262.1,3,1,1,115,647,54100024032,20,Almost Lost
185,115,708,201,13262.1,3,1,1,115,647,54100027032,20,Almost Lost
618,641,709,355,13221.75,3,1,1,641,559,54589399276,14,Almost Lost
6,13,709,275,13190.92,3,1,1,13,396,53700048182,5,Almost Lost
7,13,709,275,13190.92,3,1,1,13,424,10000085364,8,Almost Lost
8,13,709,275,13190.92,3,1,1,13,434,53600000078,8,Almost Lost
9,13,709,275,13190.92,3,1,1,13,447,52370020076,8,Almost Lost
10,13,709,275,13190.92,3,1,1,13,478,53600050042,11,Almost Lost
11,13,709,275,13190.92,3,1,1,13,494,53600000082,10,Almost Lost
12,13,709,275,13190.92,3,1,1,13,512,51600070033,13,Almost Lost
13,13,709,275,13190.92,3,1,1,13,512,52500060033,11,Almost Lost
14,13,709,275,13190.92,3,1,1,13,512,54154889076,13,Almost Lost
15,13,709,275,13190.92,3,1,1,13,543,10000085427,13,Almost Lost
16,13,709,275,13190.92,3,1,1,13,543,52740022050,13,Almost Lost
17,13,709,275,13190.92,3,1,1,13,609,10000089277,18,Almost Lost
18,13,709,275,13190.92,3,1,1,13,609,51800015050,18,Almost Lost
19,13,709,275,13190.92,3,1,1,13,609,53500035050,18,Almost Lost
20,13,709,275,13190.92,3,1,1,13,609,54105800093,18,Almost Lost
21,13,709,275,13190.92,3,1,1,13,636,52800031032,22,Almost Lost
22,13,709,275,13190.92,3,1,1,13,642,51312010033,22,Almost Lost
23,13,709,275,13190.92,3,1,1,13,642,53980010082,18,Almost Lost
24,13,709,275,13190.92,3,1,1,13,647,10000089316,22,Almost Lost
25,13,709,275,13190.92,3,1,1,13,647,54400021032,22,Almost Lost
26,13,709,275,13190.92,3,1,1,13,651,51800000050,22,Almost Lost
1770,2019,711,337,13160.5,3,1,1,2019,426,53600000078,8,Almost Lost
1771,2019,711,337,13160.5,3,1,1,2019,426,54610020076,8,Almost Lost
1772,2019,711,337,13160.5,3,1,1,2019,447,10000085363,8,Almost Lost
1773,2019,711,337,13160.5,3,1,1,2019,450,51700010076,8,Almost Lost
1774,2019,711,337,13160.5,3,1,1,2019,515,10000089082,13,Almost Lost
1775,2019,711,337,13160.5,3,1,1,2019,515,10000089106,13,Almost Lost
1776,2019,711,337,13160.5,3,1,1,2019,515,54300020076,13,Almost Lost
1777,2019,711,337,13160.5,3,1,1,2019,525,10000089092,13,Almost Lost
1778,2019,711,337,13160.5,3,1,1,2019,625,10000085479,18,Almost Lost
806,889,711,216,12983.01,3,1,1,889,235,52000030042,26,Almost Lost
807,889,711,216,12983.01,3,1,1,889,250,57218020076,26,Almost Lost
808,889,711,216,12983.01,3,1,1,889,250,57490414076,26,Almost Lost
809,889,711,216,12983.01,3,1,1,889,264,54200060033,26,Almost Lost
810,889,711,216,12983.01,3,1,1,889,330,52819011176,30,Almost Lost
811,889,711,216,12983.01,3,1,1,889,330,52920000028,30,Almost Lost
812,889,711,216,12983.01,3,1,1,889,392,53700048182,5,Almost Lost
813,889,711,216,12983.01,3,1,1,889,515,51600040033,13,Almost Lost
814,889,711,216,12983.01,3,1,1,889,515,53663250076,13,Almost Lost
815,889,711,216,12983.01,3,1,1,889,515,58978500076,13,Almost Lost
816,889,711,216,12983.01,3,1,1,889,530,10000085428,13,Almost Lost
817,889,711,216,12983.01,3,1,1,889,530,10000089084,13,Almost Lost
818,889,711,216,12983.01,3,1,1,889,572,53700048076,16,Almost Lost
819,889,711,216,12983.01,3,1,1,889,600,10000085475,18,Almost Lost
820,889,711,216,12983.01,3,1,1,889,600,52000030042,18,Almost Lost
821,889,711,216,12983.01,3,1,1,889,600,52500010050,18,Almost Lost
822,889,711,216,12983.01,3,1,1,889,614,51600070033,18,Almost Lost
823,889,711,216,12983.01,3,1,1,889,614,55400061078,18,Almost Lost
824,889,711,216,12983.01,3,1,1,889,647,51450050050,22,Almost Lost
825,889,711,216,12983.01,3,1,1,889,670,10000085493,23,Almost Lost
826,889,711,216,12983.01,3,1,1,889,670,51200000076,23,Almost Lost
827,889,711,216,12983.01,3,1,1,889,670,54850010033,23,Almost Lost
828,889,711,216,12983.01,3,1,1,889,684,51380040009,23,Almost Lost
67,40,710,400,12907.89,3,1,1,40,505,10000089106,13,Almost Lost
68,40,710,400,12907.89,3,1,1,40,512,53620010050,13,Almost Lost
69,40,710,400,12907.89,3,1,1,40,528,10000089098,13,Almost Lost
70,40,710,400,12907.89,3,1,1,40,530,10000085429,13,Almost Lost
71,40,710,400,12907.89,3,1,1,40,533,10000089101,13,Almost Lost
72,40,710,400,12907.89,3,1,1,40,533,50800490076,13,Almost Lost
73,40,710,400,12907.89,3,1,1,40,533,51254711082,13,Almost Lost
74,40,710,400,12907.89,3,1,1,40,541,57455024475,13,Almost Lost
75,40,710,400,12907.89,3,1,1,40,550,55942700087,13,Almost Lost
76,40,710,400,12907.89,3,1,1,40,607,57410101082,18,Almost Lost
77,40,710,400,12907.89,3,1,1,40,607,57410101082,19,Almost Lost
78,40,710,400,12907.89,3,1,1,40,628,52000030042,18,Almost Lost
79,40,710,400,12907.89,3,1,1,40,638,54060060076,18,Almost Lost
80,40,710,400,12907.89,3,1,1,40,638,54200029176,18,Almost Lost
1806,2085,711,359,12894.57,3,1,1,2085,412,10000089029,8,Almost Lost
1807,2085,711,359,12894.57,3,1,1,2085,412,10000089040,8,Almost Lost
1808,2085,711,359,12894.57,3,1,1,2085,412,52100041050,8,Almost Lost
1809,2085,711,359,12894.57,3,1,1,2085,412,55000013033,8,Almost Lost
1810,2085,711,359,12894.57,3,1,1,2085,524,51600050042,13,Almost Lost
1811,2085,711,359,12894.57,3,1,1,2085,524,52740022050,13,Almost Lost
1812,2085,711,359,12894.57,3,1,1,2085,531,10000085425,13,Almost Lost
1813,2085,711,359,12894.57,3,1,1,2085,531,10000085427,13,Almost Lost
893,979,710,205,12854.66,3,1,1,979,237,51370000076,26,Almost Lost
894,979,710,205,12854.66,3,1,1,979,237,51600070033,26,Almost Lost
895,979,710,205,12854.66,3,1,1,979,388,53700048182,5,Almost Lost
896,979,710,205,12854.66,3,1,1,979,408,53700048182,5,Almost Lost
897,979,710,205,12854.66,3,1,1,979,408,58087858576,7,Almost Lost
898,979,710,205,12854.66,3,1,1,979,506,10000085425,13,Almost Lost
899,979,710,205,12854.66,3,1,1,979,506,10000085426,13,Almost Lost
900,979,710,205,12854.66,3,1,1,979,506,10000085427,13,Almost Lost
901,979,710,205,12854.66,3,1,1,979,506,51480000076,13,Almost Lost
902,979,710,205,12854.66,3,1,1,979,506,54900065036,13,Almost Lost
903,979,710,205,12854.66,3,1,1,979,513,55410000076,13,Almost Lost
904,979,710,205,12854.66,3,1,1,979,513,57105210033,13,Almost Lost
905,979,710,205,12854.66,3,1,1,979,520,54369530009,13,Almost Lost
906,979,710,205,12854.66,3,1,1,979,542,55150026055,13,Almost Lost
907,979,710,205,12854.66,3,1,1,979,590,53700048076,16,Almost Lost
908,979,710,205,12854.66,3,1,1,979,599,10000085479,18,Almost Lost
909,979,710,205,12854.66,3,1,1,979,599,51800015050,18,Almost Lost
910,979,710,205,12854.66,3,1,1,979,599,54200029176,18,Almost Lost
911,979,710,205,12854.66,3,1,1,979,604,51960010076,18,Almost Lost
912,979,710,205,12854.66,3,1,1,979,606,53210060033,18,Almost Lost
913,979,710,205,12854.66,3,1,1,979,606,54105800093,18,Almost Lost
914,979,710,205,12854.66,3,1,1,979,606,57143020076,18,Almost Lost
915,979,710,205,12854.66,3,1,1,979,632,51800000050,22,Almost Lost
916,979,710,205,12854.66,3,1,1,979,655,52840000082,23,Almost Lost
917,979,710,205,12854.66,3,1,1,979,655,54850010033,22,Almost Lost
918,979,710,205,12854.66,3,1,1,979,655,54850010033,23,Almost Lost
919,979,710,205,12854.66,3,1,1,979,655,55928320070,23,Almost Lost
920,979,710,205,12854.66,3,1,1,979,669,10000085493,23,Almost Lost
2246,2467,709,396,12850.56,3,1,1,2467,513,10000085426,13,Almost Lost
2247,2467,709,396,12850.56,3,1,1,2467,513,56414410013,13,Almost Lost
2248,2467,709,396,12850.56,3,1,1,2467,522,53010030033,13,Almost Lost
2249,2467,709,396,12850.56,3,1,1,2467,537,54178802078,13,Almost Lost
2250,2467,709,396,12850.56,3,1,1,2467,634,51800010250,18,Almost Lost
243,232,672,631,12695.57,3,1,1,232,421,55100012140,8,Almost Lost
1577,1845,711,151,12647.61,3,1,1,1845,506,53620010050,13,Almost Lost
1578,1845,711,151,12647.61,3,1,1,1845,506,54154888076,13,Almost Lost
1406,1677,704,193,12559.61,3,1,1,1677,416,53600000078,8,Almost Lost
1407,1677,704,193,12559.61,3,1,1,1677,425,10000085361,8,Almost Lost
1408,1677,704,193,12559.61,3,1,1,1677,522,10000085425,13,Almost Lost
1409,1677,704,193,12559.61,3,1,1,1677,522,10000085426,13,Almost Lost
1410,1677,704,193,12559.61,3,1,1,1677,522,10000085427,13,Almost Lost
836,909,711,713,12414.56,3,1,1,909,592,10000085475,18,Almost Lost
1637,1935,711,177,12371.26,3,1,1,1935,424,58087858576,7,Almost Lost
1638,1935,711,177,12371.26,3,1,1,1935,535,10000085425,13,Almost Lost
1639,1935,711,177,12371.26,3,1,1,1935,599,10000085479,18,Almost Lost
1640,1935,711,177,12371.26,3,1,1,1935,599,51780071276,18,Almost Lost
1641,1935,711,177,12371.26,3,1,1,1935,609,51258700050,18,Almost Lost
1642,1935,711,177,12371.26,3,1,1,1935,609,54850010033,18,Almost Lost
1643,1935,711,177,12371.26,3,1,1,1935,634,53160401082,18,Almost Lost
1644,1935,711,177,12371.26,3,1,1,1935,683,10000085495,24,Almost Lost
1645,1935,711,177,12371.26,3,1,1,1935,704,10000085496,24,Almost Lost
2007,2280,708,228,12332.91,3,1,1,2280,225,57008510075,26,Almost Lost
2008,2280,708,228,12332.91,3,1,1,2280,241,53400022076,26,Almost Lost
2009,2280,708,228,12332.91,3,1,1,2280,323,51254711078,30,Almost Lost
2010,2280,708,228,12332.91,3,1,1,2280,323,57103800077,30,Almost Lost
2011,2280,708,228,12332.91,3,1,1,2280,413,53600000078,8,Almost Lost
2012,2280,708,228,12332.91,3,1,1,2280,466,53700048182,10,Almost Lost
2013,2280,708,228,12332.91,3,1,1,2280,512,10000085427,13,Almost Lost
2014,2280,708,228,12332.91,3,1,1,2280,512,51700010076,13,Almost Lost
2015,2280,708,228,12332.91,3,1,1,2280,593,10000085478,18,Almost Lost
2016,2280,708,228,12332.91,3,1,1,2280,593,54900050076,18,Almost Lost
2017,2280,708,228,12332.91,3,1,1,2280,601,53700061674,18,Almost Lost
2018,2280,708,228,12332.91,3,1,1,2280,601,53770000076,18,Almost Lost
2019,2280,708,228,12332.91,3,1,1,2280,659,54900050082,25,Almost Lost
1033,1166,711,409,12300.62,3,1,1,1166,453,53700067076,8,Almost Lost
1034,1166,711,409,12300.62,3,1,1,1166,586,53450058040,17,Almost Lost
1035,1166,711,409,12300.62,3,1,1,1166,587,53620064076,17,Almost Lost
1036,1166,711,409,12300.62,3,1,1,1166,601,51785400013,17,Almost Lost
1037,1166,711,409,12300.62,3,1,1,1166,617,10000085478,18,Almost Lost
1038,1166,711,409,12300.62,3,1,1,1166,626,53700067076,18,Almost Lost
1039,1166,711,409,12300.62,3,1,1,1166,637,51600030101,18,Almost Lost
1040,1166,711,409,12300.62,3,1,1,1166,637,51600070033,18,Almost Lost
1041,1166,711,409,12300.62,3,1,1,1166,637,52500010050,18,Almost Lost
